feature 2;cg12045430;WASH5P
feature 337069;cg12884128;null
feature 386223;cg09894383;HSD17B2
feature 238767;cg09957864;GPT
feature 124078;cg03996539;FAM198B
feature 206001;cg16810449;ARPC1B
feature 418995;cg11019835;B3GNTL1
feature 304307;cg15839752;GPR162
feature 74936;cg00786685;null
feature 222392;cg15123742;CSGALNACT1
feature 468155;cg20285224;RFPL1S
feature 451771;cg06023791;ADAM33
feature 369861;cg27444899;RAB11FIP3
feature 468167;cg09507608;null
feature 353472;cg13114125;BRF1
feature 206020;cg01499001;PDAP1
feature 451790;cg01426903;SIGLEC1
feature 468175;cg02994956;NEFH
feature 386252;cg00540449;MPHOSPH6
feature 402637;cg10371155;MED1
feature 74958;cg24541021;null
feature 304342;cg10124440;USP5
feature 9426;cg22226024;RCC2
feature 353489;cg12160741;BRF1
feature 320734;cg07050611;FBXW8
feature 173273;cg21657043;null
feature 255197;cg19017553;PARD3
feature 337115;cg05614176;TUBGCP3
feature 74977;cg22940954;RUFY4
feature 386276;cg00806490;CDH13
feature 156902;cg09395805;null
feature 451808;cg15127733;HSPA12B
feature 238820;cg13291836;LRRC14
feature 353506;cg09278107;PACS2
feature 42216;cg05930186;TP53BP2
feature 304364;cg01441359;TPI1
feature 287983;cg23357035;ATG2A
feature 435444;cg24766041;USHBP1
feature 369907;cg08474467;CAPN15
feature 222460;cg10964160;INTS10
feature 468230;cg27343222;CABP7
feature 156939;cg10679156;null
feature 288010;cg04480914;PPP2R5B
feature 9486;cg25979543;ARHGEF10L
feature 435465;cg26249852;ANKLE1
feature 271636;cg26225882;INPP5A
feature 58642;cg06160295;null
feature 42262;cg11798132;FBXO28
feature 189731;cg01430218;null
feature 402720;cg18482164;NEUROD2
feature 189732;cg09141965;null
feature 419119;cg18013419;B3GNTL1
feature 107816;cg16294425;RNF212
feature 353580;cg21490485;PACS2
feature 58669;cg01244346;TET3
feature 156973;cg14203201;null
feature 42288;cg12406363;NVL
feature 124208;cg04399899;RAPGEF2
feature 107828;cg21397393;RNF212
feature 124216;cg05187155;RAPGEF2
feature 75064;cg03627290;PNKD
feature 124222;cg21228760;null
feature 353594;cg10348368;PACS2
feature 337222;cg17900127;ATP11A
feature 353600;cg15483436;PACS2
feature 189765;cg09477453;null
feature 25928;cg02492799;GNAT2
feature 468301;cg14509403;HORMAD2
feature 435530;cg00730023;DDA1
feature 25935;cg00584008;AMPD2
feature 222540;cg02245467;LZTS1
feature 75088;cg04880052;PNKD
feature 468306;cg13245431;HORMAD2
feature 140635;cg27323430;C5orf63
feature 42330;cg18137450;WDR26
feature 402781;cg12533658;STARD3
feature 107869;cg05318361;null
feature 304486;cg04956511;PTPN6
feature 468325;cg04193415;LIF
feature 222561;cg06915334;null
feature 107875;cg03193299;null
feature 271719;cg19807317;INPP5A
feature 304480;cg25719851;PTPN6
feature 288097;cg19917412;NAALADL1
feature 468320;cg01468868;LIF
feature 189803;cg16123202;null
feature 370024;cg08638785;RAB40C
feature 222573;cg01607444;null
feature 271722;cg03260643;INPP5A
feature 238963;cg24497813;null
feature 25968;cg26668989;null
feature 435568;cg08127348;GTPBP3
feature 484735;cg09229960;EMD
feature 157050;cg14516246;ZNF184
feature 484734;cg03391801;EMD
feature 435581;cg05613364;PLVAP
feature 42363;cg09558034;CNIH3
feature 75134;cg14450238;null
feature 353669;cg00754740;MTA1
feature 58752;cg15845653;SLC4A5
feature 370052;cg08624878;RAB40C
feature 42372;cg07230107;CNIH3
feature 222598;cg20765100;null
feature 386434;cg05253165;NECAB2
feature 402817;cg15227682;ERBB2
feature 386445;cg14720455;SLC38A8
feature 468365;cg22149588;SF3A1
feature 107915;cg26130533;null
feature 107917;cg11104416;LOC100130872
feature 419211;cg05248652;METRNL
feature 140684;cg26429266;MEGF10
feature 238988;cg16287451;null
feature 157074;cg09987651;null
feature 42384;cg05701431;CNIH3
feature 107920;cg01638225;LOC100130872
feature 337300;cg21513610;ATP11A
feature 75155;cg19223411;CTDSP1
feature 238993;cg01995289;null
feature 484757;cg01596349;RPL10
feature 157072;cg07951347;null
feature 91538;cg27606618;PTPRG
feature 140689;cg23425242;MEGF10
feature 255381;cg12630277;GJD4
feature 288156;cg00310855;VPS51
feature 91545;cg06339171;PTPRG
feature 386461;cg03515246;null
feature 107930;cg07928191;CTBP1
feature 435613;cg09993699;BST2
feature 75168;cg01619378;VIL1
feature 271781;cg13335709;INPP5A
feature 271782;cg03647436;INPP5A
feature 402851;cg24657085;ERBB2
feature 189863;cg09682949;null
feature 75174;cg22446445;VIL1
feature 337324;cg26728334;ATP11A
feature 157102;cg02657128;null
feature 157101;cg18720113;null
feature 75185;cg01830674;RQCD1
feature 370102;cg04145621;FAM195A
feature 26036;cg14523841;EPS8L3
feature 484784;cg05100268;DNASE1L1
feature 140730;cg06469455;null
feature 484798;cg10645377;ATP6AP1
feature 189883;cg15929363;null
feature 222650;cg15316716;DOK2
feature 255423;cg16919449;null
feature 271800;cg14953730;INPP5A
feature 271801;cg07166896;INPP5A
feature 75198;cg16245174;RQCD1
feature 107969;cg26923863;CTBP1
feature 58818;cg22052672;RTKN
feature 304577;cg05592114;C1R
feature 271809;cg02541125;INPP5A
feature 107975;cg02650964;CTBP1
feature 386509;cg01205021;DNAAF1
feature 189899;cg07811933;null
feature 452042;cg19239041;RASSF2
feature 452040;cg14750543;RASSF2
feature 222668;cg22272713;XPO7
feature 320980;cg25023596;TAOK3
feature 42449;cg18317531;ENAH
feature 26066;cg19755069;CSF1
feature 452050;cg26650480;RASSF2
feature 337360;cg03571073;ATP11A
feature 124374;cg05493407;MARCH1
feature 239066;cg09320337;ZNF517
feature 91615;cg18175809;FEZF2
feature 484837;cg23250973;PLXNA3
feature 353767;cg12050054;C14orf80
feature 91618;cg10542584;FEZF2
feature 370150;cg12343929;WDR90
feature 484847;cg01852992;PLXNA3
feature 321001;cg05729908;TAOK3
feature 370152;cg05335115;WDR90
feature 124399;cg10127275;MARCH1
feature 157170;cg27641532;null
feature 419318;cg27469810;CETN1
feature 91633;cg24705960;FEZF2
feature 386548;cg08576476;null
feature 206321;cg05313743;ZKSCAN1
feature 91635;cg08252579;FEZF2
feature 124403;cg07160277;MARCH1
feature 255472;cg20211778;ANKRD30A
feature 157172;cg25106913;null
feature 419312;cg12924510;null
feature 26103;cg08033383;STRIP1
feature 124406;cg19037454;MARCH1
feature 386556;cg27249906;KCNG4
feature 353788;cg04429589;TMEM121
feature 157177;cg03161803;null
feature 140799;cg27223047;FBN2
feature 9726;cg06178299;PAX7
feature 321030;cg25054821;null
feature 91657;cg07045330;null
feature 353807;cg21899542;null
feature 255503;cg08349602;ZNF248
feature 9741;cg12596040;PAX7
feature 9742;cg04094653;PAX7
feature 206349;cg06078336;ZSCAN21
feature 337431;cg04157243;ATP11A
feature 140823;cg17391928;SLC27A6
feature 58902;cg12825252;CCDC142
feature 386589;cg07099991;WFDC1
feature 386587;cg08701843;WFDC1
feature 452121;cg01511104;CDS2
feature 452128;cg08482501;PROKR2
feature 304684;cg07520506;CD163L1
feature 108072;cg08283595;MAEA
feature 206383;cg05287409;MCM7
feature 108079;cg04863758;MAEA
feature 370219;cg02851105;JMJD8
feature 206387;cg22420044;MCM7
feature 370228;cg08682334;WDR24
feature 26161;cg01016662;null
feature 353844;cg19530924;null
feature 157238;cg01330280;HIST1H3H
feature 91700;cg13491481;CADPS
feature 140855;cg15034135;ADAMTS19
feature 108087;cg18299068;MAEA
feature 26166;cg08535374;null
feature 435774;cg02690797;UNC13A
feature 124472;cg24557917;null
feature 288319;cg09258981;CDC42EP2
feature 157246;cg02805890;null
feature 9788;cg00925953;TAS1R2
feature 173630;cg22768082;null
feature 337464;cg18409985;ATP11A
feature 206397;cg09238235;MIR25
feature 173628;cg19200515;null
feature 91713;cg16135090;null
feature 108096;cg07110949;MAEA
feature 386630;cg00838040;ATP2C2
feature 304705;cg17187764;APOBEC1
feature 26182;cg07587250;SLC6A17
feature 173637;cg18749015;null
feature 75337;cg06736663;WNT10A
feature 124491;cg05755239;KLHL2
feature 468557;cg16246836;OSBP2
feature 468556;cg08680260;OSBP2
feature 42573;cg01393234;null
feature 190031;cg15857635;MICALL2
feature 321097;cg23051063;null
feature 108113;cg19318889;MAEA
feature 484951;cg05260949;CTAG2
feature 337495;cg12394800;ATP11A
feature 124501;cg06817539;KLHL2
feature 386640;cg04832450;ATP2C2
feature 222806;cg02399048;REEP4
feature 452177;cg27657685;null
feature 304723;cg06635871;DPPA3
feature 468560;cg11207839;OSBP2
feature 288348;cg10925420;TIGD3
feature 370271;cg02334987;FBXL16
feature 304734;cg23793961;CLEC4C
feature 58970;cg07990546;TLX2
feature 288346;cg23319460;TIGD3
feature 370278;cg01934790;FBXL16
feature 271969;cg04263391;INPP5A
feature 271980;cg23495441;INPP5A
feature 58985;cg00588297;DQX1
feature 337518;cg17171260;ATP11A
feature 140909;cg10627136;HINT1
feature 337524;cg11462099;ATP11A
feature 468596;cg26683361;null
feature 124530;cg10584300;null
feature 468595;cg23120976;TUG1
feature 222839;cg22552168;BMP1
feature 353906;cg01701655;null
feature 386686;cg16613233;COTL1
feature 468603;cg06894032;SMTN
feature 484986;cg09049751;DKC1
feature 9855;cg14014854;IFFO2
feature 337530;cg22286732;null
feature 353925;cg18115481;null
feature 304772;cg13323752;SLC2A14
feature 239239;cg01424241;KANK1
feature 386688;cg02446170;COTL1
feature 206475;cg00672712;C7orf43
feature 403094;cg12333112;MSL1
feature 304788;cg25580254;SLC2A3
feature 26256;cg09368875;LAMTOR5
feature 337558;cg01427869;null
feature 9876;cg17735028;IFFO2
feature 288401;cg16884222;NEAT1
feature 435856;cg16744531;B3GNT3
feature 468624;cg10185013;SMTN
feature 321181;cg03339668;CIT
feature 272031;cg05904135;NKX6-2
feature 452248;cg21001198;LRRN4
feature 353947;cg04542653;null
feature 272027;cg06082548;NKX6-2
feature 468647;cg18053607;INPP5J
feature 353956;cg09303715;null
feature 321189;ch.12.2473323R;CIT
feature 452259;cg16886329;FERMT1
feature 59045;cg01287476;M1AP
feature 239269;cg14504259;null
feature 190117;cg24172278;INTS1
feature 157355;cg06005695;HIST1H4L
feature 321198;cg11345172;CIT
feature 239272;cg06984025;null
feature 255656;cg08933409;null
feature 157359;cg12408601;HIST1H4L
feature 353963;cg22865700;null
feature 272042;cg06769546;NKX6-2
feature 222893;cg24129618;POLR3D
feature 304820;cg23363981;FOXJ2
feature 91825;cg14980724;ATXN7
feature 304821;cg20321375;FOXJ2
feature 206513;cg13210467;STAG3
feature 353968;cg20902104;null
feature 321203;cg27281285;CIT
feature 485054;cg13115118;BRCC3
feature 91835;cg06577708;PSMD6
feature 26298;cg12957986;KCNA10
feature 42684;cg14162417;null
feature 304824;cg13863617;FOXJ2
feature 435909;cg02285920;JAK3
feature 452290;cg24674635;BMP2
feature 42700;cg04210991;ACBD3
feature 157388;cg20851465;HIST1H2AM
feature 272084;cg05806875;null
feature 75472;cg19394737;CFAP65
feature 452311;cg07903141;TMX4
feature 91859;cg10601100;PRICKLE2
feature 354006;cg11195909;KIAA0125
feature 75479;cg05231542;CFAP65
feature 304860;cg20325280;ZNF705A
feature 239321;cg14422827;DMRT2
feature 190174;cg08525429;null
feature 485080;cg09889532;CLIC2
feature 485095;cg07211220;null
feature 108257;cg06544514;UVSSA
feature 435943;cg24065770;SLC5A5
feature 337639;cg16341737;MCF2L
feature 42725;cg00194886;LIN9
feature 354019;cg13499371;ADAM6
feature 435950;cg24881657;SLC5A5
feature 26344;cg06750832;KCNA3
feature 337646;cg18110590;MCF2L
feature 26349;cg03483626;KCNA3
feature 190194;cg05279413;MAFK
feature 173810;cg20980592;MEP1A
feature 452343;ch.20.209864F;PLCB4
feature 9969;cg18202521;AKR7L
feature 190195;cg26468430;MAFK
feature 321270;cg11020665;RPLP0
feature 157425;cg12623302;null
feature 190193;cg04358131;MAFK
feature 42739;cg17985912;LIN9
feature 468722;cg08225986;PATZ1
feature 272114;cg14126600;null
feature 239349;cg14492276;SMARCA2
feature 75516;cg07045816;IHH
feature 304891;cg20633835;FAM90A1
feature 75518;cg08261878;IHH
feature 9983;cg08917933;AKR7A3
feature 190210;cg16385941;MAFK
feature 321284;cg15400169;RPLP0
feature 108288;cg12464561;null
feature 75522;cg11348293;IHH
feature 59140;cg13690354;POLE4
feature 452354;cg04022137;null
feature 173829;cg14326991;ADGRF5
feature 354063;cg16548262;null
feature 354062;cg01842774;null
feature 59154;cg12220426;TACR1
feature 157457;cg24892241;null
feature 190230;cg07071809;TMEM184A
feature 124692;cg08028435;PALLD
feature 190231;cg18294109;TMEM184A
feature 223001;cg07924703;SORBS3
feature 452381;cg25488669;PAK7
feature 468761;cg11789795;EIF4ENIF1
feature 435992;cg15410253;KCNN1
feature 321307;cg11510131;PXN
feature 91934;cg05501868;ADAMTS9
feature 337690;cg00543684;MCF2L
feature 403225;cg02477677;RARA
feature 206625;cg17442482;PPP1R35
feature 10018;cg08597802;null
feature 288551;cg07156219;FAM89B
feature 59173;cg14650577;TACR1
feature 108324;cg18512930;null
feature 452385;cg25143824;PAK7
feature 108328;cg08029287;null
feature 26411;cg08818525;DRAM2
feature 42799;cg03312427;C1orf95
feature 91952;cg22081832;ADAMTS9
feature 419636;cg19622911;DLGAP1
feature 190257;cg12503394;TMEM184A
feature 141110;cg23358564;PDLIM4
feature 206644;cg05967120;TSC22D4
feature 124729;cg00679209;PALLD
feature 26424;cg19269039;DENND2D
feature 255801;cg26892843;null
feature 354111;cg16555411;null
feature 337726;cg27359668;MCF2L
feature 108349;cg11174255;null
feature 59196;cg23857238;EVA1A
feature 75583;cg06753787;ZFAND2B
feature 485191;cg15781156;TTTY16
feature 59202;cg24405470;EVA1A
feature 157504;cg16499284;TOB2P1
feature 386892;cg07929310;KIAA0513
feature 403274;cg00512374;IGFBP4
feature 59213;cg07724816;EVA1A
feature 272203;cg06960203;null
feature 354135;cg18196506;null
feature 124754;cg22006060;null
feature 206679;cg10625851;NYAP1
feature 42837;cg04503570;ITPKB
feature 419664;cg20140394;null
feature 304991;cg17070108;AICDA
feature 91996;cg06271087;MAGI1
feature 288602;cg01180479;MAP3K11
feature 419673;cg03250019;C18orf42
feature 26464;cg26834680;null
feature 173922;cg18841952;ADGRF2
feature 304997;cg07999668;AICDA
feature 92000;cg24879560;MAGI1
feature 272227;cg12719622;null
feature 26473;cg09933345;CHIA
feature 173934;cg22852840;OPN5
feature 75629;cg20314884;GLB1L
feature 305002;cg15815843;MFAP5
feature 337780;cg00053927;MCF2L
feature 157552;cg00448814;NKAPL
feature 452468;cg13592599;JAG1
feature 321399;cg13471599;null
feature 75639;cg15983357;STK16
feature 26490;cg05390402;PIFO
feature 386937;cg02687026;FAM92B
feature 337784;cg11521563;MCF2L
feature 190338;cg26797166;null
feature 108416;cg09861977;null
feature 436096;cg17022038;MAST3
feature 419726;cg07352438;EPB41L3
feature 354186;cg18320917;null
feature 108433;cg20095398;null
feature 272278;cg26589930;null
feature 173968;cg09216153;null
feature 337814;cg04885377;MCF2L
feature 403346;cg25211566;null
feature 436114;cg24503449;PIK3R2
feature 354193;cg09965363;GOLGA8CP
feature 124823;cg03274876;C4orf27
feature 239519;cg13629201;JAK2
feature 42909;cg11847933;ADCK3
feature 354200;cg11842425;NBEAP1
feature 92062;cg06102127;MAGI1
feature 354214;cg15822259;null
feature 337830;cg18653560;MCF2L
feature 75684;cg25710753;DNAJB2
feature 419759;cg21663181;null
feature 288687;cg08142478;RELA
feature 59310;cg17961381;LRRTM4
feature 485288;cg10051237;null
feature 337841;cg11017155;MCF2L
feature 141239;cg26787239;IL4
feature 206772;cg26471020;MOSPD3
feature 75702;cg03970036;PTPRN
feature 75712;cg05155043;RESP18
feature 190403;cg12510512;null
feature 468933;cg21578906;SLC5A4
feature 305094;cg11139127;A2M
feature 255945;cg10765471;null
feature 157640;cg14547644;ZSCAN23
feature 223177;cg01211283;PEBP4
feature 174030;cg20364632;null
feature 419787;cg16377998;L3MBTL4
feature 239569;cg13595913;ERMP1
feature 157649;cg11575929;null
feature 436178;cg02711128;PDE4C
feature 42965;cg26893451;null
feature 26582;cg02834311;FAM212B
feature 157652;cg26418589;null
feature 174037;cg08942800;CRISP2
feature 272346;cg08325191;CFAP46
feature 92129;cg13496790;LRIG1
feature 288740;cg07550809;AP5B1
feature 468966;cg09696535;BPIFC
feature 59365;cg27226238;REG1CP
feature 354274;cg22974100;null
feature 305133;cg07463633;LOC642846
feature 436200;cg26218977;PDE4C
feature 42991;cg18947553;null
feature 157680;cg11168694;GPX6
feature 124917;ch.4.172823451R;null
feature 26617;cg17838705;DDX20
feature 206841;cg03173525;GNB2
feature 354302;cg05502271;CYFIP1
feature 223229;cg24581795;TNFRSF10B
feature 419846;cg12072964;LAMA1
feature 370694;cg09851343;LMF1
feature 370701;cg09290694;LMF1
feature 157707;cg06648156;GPX6
feature 92173;cg22375757;null
feature 436234;cg07083818;KIAA1683
feature 337929;cg26608199;F10
feature 288789;cg05758094;SNX32
feature 419858;cg16326062;LRRC30
feature 174100;cg15412759;TFAP2D
feature 305170;cg15238008;DDX12P
feature 124952;cg06814616;GALNTL6
feature 337951;cg18535410;F10
feature 469021;cg23855715;SYN3
feature 288798;cg17318632;SNX32
feature 124957;cg11470941;null
feature 387097;cg09642525;null
feature 174109;cg20180370;TFAP2D
feature 174112;cg19384531;TFAP2D
feature 223271;cg09237849;TNFRSF10C
feature 256038;cg25602759;null
feature 157735;cg12939270;GPX5
feature 354349;cg21619825;CYFIP1
feature 108587;cg09981884;TMEM129
feature 92204;cg02954324;null
feature 337963;cg23418066;F10
feature 321579;cg06302566;UNC119B
feature 370730;cg27118937;LMF1
feature 272437;cg25403442;null
feature 43057;cg06928246;null
feature 452660;cg26685557;KIF16B
feature 387121;cg09798202;null
feature 174135;cg06117072;TFAP2B
feature 485438;cg10076560;TXLNGY
feature 485444;cg00308367;KDM5D
feature 108619;cg13192688;TACC3
feature 419926;cg15255827;null
feature 223319;cg14349055;CHMP7
feature 239701;cg21101298;PTPRD
feature 190548;cg13880726;MAD1L1
feature 452689;cg19636311;SNRPB2
feature 10336;cg15653910;null
feature 305252;cg00966659;CLEC12B
feature 223330;cg00329472;R3HCC1
feature 174176;cg14146740;null
feature 387175;cg02610274;null
feature 10339;cg06830665;null
feature 452706;cg15060366;PCSK2
feature 321633;cg12418163;SPPL3
feature 43110;cg22525281;WNT9A
feature 370796;cg02837935;null
feature 206953;cg12616177;null
feature 469098;cg25996826;TOM1
feature 43119;cg26146562;WNT9A
feature 256115;cg01083633;null
feature 370805;cg09854626;SOX8
feature 485494;cg15462332;RBMY1D
feature 305271;cg02507181;CLEC1A
feature 256119;cg25956097;null
feature 141429;cg23958118;FSTL4
feature 223348;cg21397592;LOXL2
feature 370802;cg21696393;SOX8
feature 256122;cg10164795;null
feature 125051;cg00119279;null
feature 485499;cg10267609;RBMY1F
feature 141438;cg03557770;FSTL4
feature 239743;cg14003693;NFIB
feature 272506;cg25079218;null
feature 452729;cg09165842;PCSK2
feature 354426;cg04496281;NIPA1
feature 436359;cg07829071;ISYNA1
feature 387207;cg09363128;null
feature 452741;cg07904983;BFSP1
feature 141446;cg11279294;FSTL4
feature 370819;cg06723694;SOX8
feature 321667;cg03495030;HNF1A
feature 321677;cg15155738;C12orf43
feature 206984;cg12507655;TRIP6
feature 174223;cg22887663;MIR206
feature 75919;cg15253243;TMEM198
feature 10385;cg04526480;null
feature 141459;cg19005955;FSTL4
feature 288918;cg08614638;C11orf68
feature 10389;cg04241844;FAM43B
feature 10390;cg04309384;FAM43B
feature 223380;cg04177885;ENTPD4
feature 321683;cg20092046;OASL
feature 223387;cg26837477;ENTPD4
feature 108699;cg01795199;FGFR3
feature 436378;cg23259813;ELL
